Week,Campaign,Ad group,Keyword type,Search Keyword,Currency,Clicks,Impressions,Cost ($),Leads,Prospects,Payment ($),Payment Date,Country
25-Jan-21,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,USD,2,17,38.33,0,1,$980,3-Feb-21,USA
25-Jan-21,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,USD,1,13,11.7,0,0,,,USA
25-Jan-21,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,USD,4,154,45.13,0,1,"$1,188",13-Mar-21,USA
25-Jan-21,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,USD,2,8,23.91,0,0,,,USA
25-Jan-21,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,USD,2,13,4.89,0,0,,,USA
25-Jan-21,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,USD,1,2,4.93,0,0,,,USA
25-Jan-21,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,USD,1,3,13.44,1,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,USD,1,9,6.08,0,0,,,USA
25-Jan-21,EK_Generic_Quad-Tok_Yoga_Singapore,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,USD,1,3,6.38,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,USD,0,14,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,booking management software,USD,0,5,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Exact,Exact,reservation management system,USD,0,4,0,0,0,,,USA
25-Jan-21,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,USD,0,2,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Exact,Exact,reservation management system,USD,0,10,0,0,0,,,USA
25-Jan-21,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,USD,0,6,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,USD,0,26,0,0,0,,,USA
25-Jan-21,EK_Generic_Swimming,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,USD,0,2,0,0,0,,,USA
25-Jan-21,EK_Generic_Swimming_UK,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,USD,0,1,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,booking management software,USD,0,0,0,0,0,,,USA
25-Jan-21,EK_Generic_Swimming_Canada,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,USD,0,1,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,reservation management system,USD,0,1,0,0,0,,,USA
25-Jan-21,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,USD,0,2,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Exact,Exact,reservation management system,USD,0,1,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,reservation management system,USD,0,1,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Exact,Exact,reservation management system,USD,0,0,0,0,0,,,USA
25-Jan-21,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,USD,0,12,0,0,0,,,USA
25-Jan-21,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,USD,0,9,0,0,0,,,USA
1-Feb-21,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,reservation management system,USD,2,3,17.43,0,1,,,USA
1-Feb-21,EK_Generic_Tri-Tok_Reservation_UK,Reservation_Management_System_Phrase,Phrase,booking management software,USD,2,28,32.1,0,0,,,USA
1-Feb-21,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,USD,2,5,13.63,0,0,,,USA
1-Feb-21,EK_Generic_Tri-Tok_Reservation_Canada,Reservation_Management_System_Phrase,Phrase,booking management software,USD,2,11,22.14,0,0,,,USA
1-Feb-21,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,USD,2,12,12.27,0,0,,,USA
1-Feb-21,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,USD,2,39,28.47,0,0,,,USA
1-Feb-21,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,USD,2,25,22.61,0,0,,,USA
1-Feb-21,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,USD,1,161,12.49,0,0,,,USA
1-Feb-21,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,USD,1,10,3.73,0,0,,,USA
1-Feb-21,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,USD,1,16,6.37,0,0,,,USA
1-Feb-21,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,USD,1,8,15.11,0,0,,,USA
1-Feb-21,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,USD,1,12,6.23,0,0,,,USA
1-Feb-21,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Phrase,Phrase,booking management software,USD,0,1,0,0,0,,,USA
1-Feb-21,EK_Generic_Tri-Tok_Reservation_Singapore,Reservation_Management_System_Phrase,Phrase,booking management software,USD,0,1,0,0,0,,,USA
1-Feb-21,EK_Generic_Tri-Tok_Reservation_UAE,Reservation_Management_System_Exact,Exact,reservation management system,USD,0,0,0,0,0,,,USA
1-Feb-21,EK_Generic_Quad-Tok_Yoga_Singapore,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,USD,0,3,0,0,0,,,USA
1-Feb-21,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,USD,0,19,0,0,0,,,USA
1-Feb-21,EK_Generic_Swimming_Canada,Pool_Reservation_System_Exact,Exact,pool reservation system,USD,0,1,0,0,0,,,USA
1-Feb-21,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,USD,0,4,0,0,0,,,USA
1-Feb-21,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,USD,0,3,0,0,0,,,USA
