Product Name,Categories,Date of Report,Average Position,Clicks,Leads,Money Spent ($),Channel,Location,Prospects,Paid,Paid Date
Omnify,Coaching,20-Oct-20,13,1,,2,Capterra,UNITED STATES,,,
Omnify,Dance Studio,20-Oct-20,20,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Personal Trainer,20-Oct-20,6,1,,2,Capterra,SINGAPORE,,,
Omnify,Scheduling,20-Oct-20,59,1,,2,GetApp,UNITED STATES,,,
Omnify,Class Registration,21-Oct-20,6,1,,2,Capterra,AUSTRALIA,,,
Omnify,Class Registration,21-Oct-20,16,1,,2,Capterra,UNITED STATES,,,
Omnify,Fitness,21-Oct-20,18,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Personal Trainer,21-Oct-20,24,1,,2,GetApp,CANADA,,,
Omnify,Scheduling,21-Oct-20,47,1,,2,GetApp,CANADA,,,
Omnify,Swim School,21-Oct-20,8,1,,2,Capterra,UNITED STATES,,,
Omnify,Yoga Studio,21-Oct-20,17,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Yoga Studio,21-Oct-20,29,1,,2,GetApp,UNITED STATES,,,
Omnify,Coaching,22-Oct-20,13,1,,2,Capterra,UNITED STATES,,,
Omnify,Scheduling,22-Oct-20,36,1,,2,Capterra,AUSTRALIA,,,
Omnify,Camp Management,23-Oct-20,1,1,,2,Software Advice,CANADA,,,
Omnify,Class Registration,23-Oct-20,5,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Coaching,23-Oct-20,9,1,,2,Capterra,UNITED STATES,,,
Omnify,Music School,23-Oct-20,8,1,,2,Capterra,AUSTRALIA,,,
Omnify,Personal Trainer,23-Oct-20,19,1,,2,Software Advice,UNITED KINGDOM,,,
Omnify,Personal Trainer,23-Oct-20,17,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Scheduling,23-Oct-20,13,2,,4,GetApp,SINGAPORE,,,
Omnify,Camp Management,24-Oct-20,1,1,,2,Software Advice,UNITED STATES,,,
Omnify,Camp Management,24-Oct-20,10,1,,2,Capterra,UNITED STATES,,,
Omnify,Coaching,24-Oct-20,13,1,,2,Capterra,CANADA,,,
Omnify,Coaching,24-Oct-20,1,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Personal Trainer,24-Oct-20,26,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,24-Oct-20,16,1,,2,Capterra,AUSTRALIA,,,
Omnify,Reservations,24-Oct-20,27,1,,2,GetApp,CANADA,,,
Omnify,Scheduling,24-Oct-20,14,1,,2,GetApp,SINGAPORE,,,
Omnify,Camp Management,25-Oct-20,10,1,,2,Capterra,UNITED STATES,,,
Omnify,Club Management,25-Oct-20,9,1,,2,Capterra,SINGAPORE,,,
Omnify,Coaching,25-Oct-20,1,1,,2,GetApp,UNITED STATES,,,
Omnify,Fitness,25-Oct-20,16,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Gymnastics,25-Oct-20,15,1,,2,GetApp,UNITED STATES,,,
Omnify,Personal Trainer,25-Oct-20,23,1,,2,GetApp,CANADA,,,
Omnify,Reservations,25-Oct-20,13,3,,6,GetApp,AUSTRALIA,,,
Omnify,Reservations,25-Oct-20,18,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Scheduling,25-Oct-20,31,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Venue Management,25-Oct-20,7,1,,2,Capterra,AUSTRALIA,,,
Omnify,Camp Management,26-Oct-20,11,1,,2,Capterra,UNITED STATES,,,
Omnify,Class Registration,26-Oct-20,6,1,,2,Capterra,AUSTRALIA,,,
Omnify,Fitness,26-Oct-20,29,1,,2,GetApp,UNITED STATES,,,
Omnify,Membership Management,26-Oct-20,26,2,,4,GetApp,AUSTRALIA,,,
Omnify,Personal Trainer,26-Oct-20,15,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Reservations,26-Oct-20,28,1,,2,GetApp,UNITED STATES,,,
Omnify,Venue Management,26-Oct-20,13,1,,2,Capterra,UNITED STATES,,,
Omnify,Class Registration,27-Oct-20,6,1,,2,Capterra,AUSTRALIA,,,
Omnify,Dance Studio,27-Oct-20,22,1,,2,Capterra,CANADA,,,
Omnify,Membership Management,27-Oct-20,7,1,,9.25,Capterra,CANADA,,,
Omnify,Membership Management,27-Oct-20,21,2,,17,Capterra,UNITED STATES,,,
Omnify,Membership Management,27-Oct-20,52,1,,2,GetApp,UNITED STATES,,,
Omnify,Parks and Recreation,27-Oct-20,7,1,,2,GetApp,CANADA,,,
Omnify,Personal Trainer,27-Oct-20,14,1,,2,GetApp,AUSTRALIA,,,
Omnify,Personal Trainer,27-Oct-20,22,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,27-Oct-20,25,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,27-Oct-20,16,2,,4,GetApp,UNITED KINGDOM,,,
Omnify,Scheduling,27-Oct-20,39,1,,2,GetApp,CANADA,,,
Omnify,Scheduling,27-Oct-20,48,1,,2,GetApp,UNITED STATES,,,
Omnify,Scheduling,27-Oct-20,14,1,,2,GetApp,SINGAPORE,,,
Omnify,Spa,27-Oct-20,25,1,,2,GetApp,UNITED STATES,,,
Omnify,Venue Management,27-Oct-20,6,1,,2,Capterra,AUSTRALIA,,,
Omnify,Camp Management,28-Oct-20,1,1,,2,Capterra,AUSTRALIA,,,
Omnify,Camp Management,28-Oct-20,10,1,,2,Capterra,UNITED STATES,,,
Omnify,Camp Management,28-Oct-20,13,1,,2,Software Advice,UNITED STATES,,,
Omnify,Class Registration,28-Oct-20,6,1,,2,Capterra,AUSTRALIA,,,
Omnify,Class Registration,28-Oct-20,6,1,,2,GetApp,AUSTRALIA,,,
Omnify,Gymnastics,28-Oct-20,15,1,,2,GetApp,UNITED STATES,,,
Omnify,Parks and Recreation,28-Oct-20,10,1,,2.25,Capterra,UNITED STATES,,,
Omnify,Personal Trainer,28-Oct-20,20,1,,2,Capterra,UNITED STATES,,,
Omnify,Reservations,28-Oct-20,12,2,,4,GetApp,AUSTRALIA,,,
Omnify,Reservations,28-Oct-20,26,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,28-Oct-20,9,1,,2,GetApp,SINGAPORE,,,
Omnify,Scheduling,28-Oct-20,13,1,,2,GetApp,SINGAPORE,,,
Omnify,Scheduling,28-Oct-20,28,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Scheduling,28-Oct-20,33,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Venue Management,28-Oct-20,10,1,,2,GetApp,UNITED STATES,,,
Omnify,Yoga Studio,28-Oct-20,25,1,,2,GetApp,UNITED STATES,,,
Omnify,Camp Management,29-Oct-20,13,1,,2,Software Advice,UNITED STATES,,,
Omnify,Camp Management,29-Oct-20,10,1,,2,Capterra,UNITED STATES,,,
Omnify,Coaching,29-Oct-20,10,1,,2,GetApp,UNITED STATES,,,
Omnify,Fitness,29-Oct-20,16,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Fitness,29-Oct-20,26,1,,2,GetApp,UNITED STATES,,,
Omnify,Membership Management,29-Oct-20,6.67,3,,28.5,Capterra,AUSTRALIA,,,
Omnify,Membership Management,29-Oct-20,47,1,,2,GetApp,UNITED STATES,,,
Omnify,Parks and Recreation,29-Oct-20,6,1,,9.75,Capterra,UNITED STATES,,,
Omnify,Parks and Recreation,29-Oct-20,10,2,,4,GetApp,UNITED STATES,,,
Omnify,Personal Trainer,29-Oct-20,18,1,,2,GetApp,CANADA,,,
Omnify,Reservations,29-Oct-20,12,1,,2,GetApp,AUSTRALIA,,,
Omnify,Scheduling,29-Oct-20,43,1,,2,GetApp,UNITED STATES,,,
Omnify,Scheduling,29-Oct-20,13,1,,2,GetApp,SINGAPORE,,,
Omnify,Spa,29-Oct-20,10,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Venue Management,29-Oct-20,8,1,,2,GetApp,CANADA,,,
Omnify,Venue Management,29-Oct-20,5,2,,4,Capterra,UNITED KINGDOM,,,
Omnify,Venue Management,29-Oct-20,11,1,,2,Capterra,UNITED STATES,,,
Omnify,Camp Management,30-Oct-20,1,1,,2,Software Advice,UNITED STATES,,,
Omnify,Class Registration,30-Oct-20,6,1,,2,Capterra,AUSTRALIA,,,
Omnify,Class Registration,30-Oct-20,7,2,,4,Software Advice,CANADA,,,
Omnify,Fitness,30-Oct-20,16,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Martial Arts,30-Oct-20,19,1,,2,GetApp,UNITED STATES,,,
Omnify,Membership Management,30-Oct-20,5.5,2,,19,Capterra,AUSTRALIA,,,
Omnify,Membership Management,30-Oct-20,14,2,,20.5,Capterra,UNITED STATES,,,
Omnify,Music School,30-Oct-20,7,1,,2,Capterra,UNITED KINGDOM,,,
Omnify,Parks and Recreation,30-Oct-20,5,1,,3.5,Capterra,CANADA,,,
Omnify,Parks and Recreation,30-Oct-20,2,1,,2,GetApp,UNITED KINGDOM,,,
Omnify,Personal Trainer,30-Oct-20,17,1,,2,GetApp,CANADA,,,
Omnify,Personal Trainer,30-Oct-20,19,1,,2,GetApp,UNITED STATES,,,
Omnify,Reservations,30-Oct-20,25,1,,2,GetApp,UNITED STATES,,,
Omnify,Swim School,30-Oct-20,6,1,,2,GetApp,CANADA,,,
Omnify,Membership Management,31-Oct-20,5,2,,19,Capterra,AUSTRALIA,,,
Omnify,Membership Management,31-Oct-20,7,3,,21.75,Capterra,UNITED KINGDOM,,,
Omnify,Membership Management,31-Oct-20,6,2,,33,Capterra,UNITED STATES,,,
Omnify,Scheduling,31-Oct-20,32,2,,4,GetApp,CANADA,,,
Omnify,Scheduling,31-Oct-20,13,2,,4,GetApp,SINGAPORE,,,
Omnify,Swim School,31-Oct-20,5,1,,2,Capterra,AUSTRALIA,,,
